#{"t_start": 1518616763.9073718, "gym_version": "0.9.4", "env_id": "BreakoutNoFrameskip-v4"}
r,l,t
2.0,223,82.496156
1.0,174,138.45778
3.0,229,213.094342
1.0,173,268.991491
0.0,127,308.890733
5.0,362,429.9637
3.0,270,517.815412
1.0,157,568.162662
1.0,157,618.138087
2.0,226,692.923962
4.0,320,798.335242
1.0,157,847.978883
0.0,125,892.395509
2.0,203,959.821442
0.0,125,997.870155
0.0,127,1037.862633
0.0,129,1077.300286
1.0,177,1132.47835
2.0,222,1205.279754
0.0,129,1245.012469
1.0,177,1300.019377
0.0,129,1338.93856
0.0,127,1377.902591
2.0,200,1441.089349
2.0,204,1506.503685
2.0,202,1571.413657
0.0,125,1608.988735
1.0,172,1663.894535
1.0,173,1718.015838
0.0,129,1757.752615
0.0,129,1797.601626
0.0,125,1836.672751
1.0,175,1891.790748
0.0,129,1931.291018
0.0,129,1970.79638
0.0,127,2009.305299
0.0,127,2048.644531
2.0,203,2113.903931
1.0,155,2161.705655
1.0,174,2222.808244
5.0,301,2323.424096
2.0,202,2390.37631
0.0,125,2429.313918
4.0,280,2522.299307
0.0,129,2562.553393
2.0,202,2629.543274
0.0,127,2670.41534
2.0,202,2735.668469
4.0,261,2822.978876
1.0,178,2879.448401
1.0,171,2936.282363
0.0,125,2978.942695
1.0,155,3033.356701
2.0,187,3103.916417
0.0,127,3146.471215
0.0,125,3190.244336
1.0,173,3249.42168
3.0,270,3341.546859
0.0,127,3380.605692
2.0,204,3447.385634
0.0,127,3487.552496
2.0,202,3552.956102
1.0,173,3610.346385
1.0,153,3662.395682
2.0,202,3738.149163
3.0,231,3819.101961
1.0,173,3875.908544
0.0,127,3917.167054
3.0,239,4014.165775
4.0,298,4167.265863
0.0,125,4225.557787
1.0,176,4311.484478
0.0,129,4371.543072
0.0,127,4428.975773
0.0,125,4488.709686
0.0,129,4548.789808
1.0,177,4633.064798
0.0,129,4693.089306
2.0,203,4791.664186
1.0,155,4864.486095
0.0,129,4924.835887
3.0,227,5036.455243
4.0,299,5186.883488
0.0,125,5244.320159
0.0,129,5303.933454
0.0,127,5364.118726
1.0,177,5447.50409
0.0,129,5508.219334
2.0,200,5603.950321
0.0,123,5661.319056
1.0,153,5734.428043
0.0,127,5794.535521
0.0,129,5854.84386
0.0,127,5912.70384
1.0,171,5996.357626
1.0,177,6080.103574
0.0,125,6138.120809
1.0,173,6221.260827
4.0,298,6370.727468
0.0,127,6430.263146
4.0,279,6569.781277
3.0,272,6702.658233
2.0,202,6801.643289
0.0,129,6861.345806
0.0,127,6919.648717
0.0,129,6979.473614
1.0,155,7054.927329
2.0,221,7162.754287
3.0,270,7296.467338
1.0,170,7378.167496
1.0,173,7462.078549
1.0,175,7545.577543
1.0,178,7631.165883
2.0,222,7740.821033
2.0,223,7850.179497
1.0,157,7923.961839
0.0,129,7984.34446
0.0,127,8044.413119
2.0,224,8154.77488
2.0,202,8252.546638
2.0,219,8361.450489
2.0,206,8464.041733
0.0,129,8524.747354
2.0,201,8622.026656
1.0,151,8695.223866
0.0,127,8753.417527
9.0,380,8945.466096
2.0,207,9047.128341
1.0,172,9130.685178
0.0,123,9185.495483
0.0,127,9244.792182
1.0,157,9320.175691
1.0,175,9403.491918
0.0,125,9461.189634
1.0,170,9542.101623
0.0,129,9602.881851
0.0,129,9663.187603
5.0,352,9840.934616
0.0,129,9900.977069
1.0,155,9974.843336
1.0,172,10058.76852
2.0,222,10166.875426
1.0,175,10250.487094
1.0,171,10333.467803
3.0,274,10469.795611
5.0,326,10631.966226
1.0,175,10715.891418
4.0,305,10870.92633
0.0,125,10928.777696
2.0,205,11028.965325
1.0,171,11110.218856
0.0,125,11170.326814
3.0,216,11276.053349
0.0,129,11336.260521
1.0,175,11420.525745
3.0,268,11553.991445
1.0,174,11638.447391
2.0,221,11747.893678
0.0,123,11806.082052
2.0,224,11916.273208
3.0,268,12050.996726
4.0,322,12214.123142
2.0,201,12311.89523
3.0,214,12415.355307
3.0,252,12539.688838
2.0,226,12649.764704
3.0,248,12771.760832
3.0,250,12894.939018
2.0,199,12991.586214
2.0,198,13088.009562
3.0,251,13211.369808
2.0,202,13310.359508
0.0,125,13367.819972
0.0,125,13426.303548
0.0,129,13486.851048
0.0,127,13546.631811
4.0,323,13709.224504
0.0,125,13767.290698
4.0,320,13927.575411
9.0,402,14132.519506
2.0,202,14229.747943
3.0,250,14352.887108
4.0,320,14514.41612
4.0,301,14663.690176
1.0,175,14748.018579
0.0,127,14808.156803
1.0,157,14882.025309
1.0,177,14968.635267
1.0,176,15052.852754
0.0,129,15113.485191
0.0,127,15173.242162
0.0,129,15233.46971
2.0,198,15330.059056
0.0,125,15387.626795
3.0,234,15503.608064
0.0,125,15562.341754
4.0,299,15711.802504
2.0,222,15821.698398
0.0,123,15878.313308
0.0,129,15938.761345
1.0,153,16010.348347
0.0,125,16070.127167
2.0,200,16167.669343
3.0,230,16280.799334
0.0,125,16338.148288
1.0,153,16411.724663
1.0,155,16485.085085
0.0,125,16542.865431
14.0,507,16801.984634
3.0,254,16927.613918
0.0,127,16987.981095
1.0,152,17059.461621
1.0,153,17132.662298
2.0,222,17242.496627
0.0,127,17300.903687
3.0,252,17427.383748
3.0,272,17561.89415
1.0,156,17637.868596
1.0,173,17722.661947
1.0,157,17796.321487
12.0,514,18058.705045
4.0,299,18207.717337
3.0,235,18324.281592
0.0,129,18385.235085
0.0,127,18445.517535
0.0,127,18504.803147
4.0,265,18636.324662
1.0,175,18720.475564
1.0,155,18793.698863
1.0,169,18874.835777
2.0,206,18976.438164
3.0,250,19100.082833
2.0,186,19189.970203
0.0,127,19250.619661
0.0,127,19308.899846
3.0,230,19424.082422
3.0,235,19539.82063
2.0,188,19630.844468
0.0,127,19688.892595
1.0,171,19772.089604
0.0,129,19832.524504
0.0,125,19890.320893
0.0,129,19950.192127
1.0,174,20033.838096
0.0,129,20093.765241
1.0,173,20176.750772
0.0,127,20234.88836
10.0,433,20455.835843
0.0,129,20516.992252
2.0,202,20615.783619
7.0,326,20777.962346
5.0,350,20951.930597
5.0,311,21108.764485
3.0,248,21229.357093
3.0,233,21343.717672
2.0,200,21440.039094
0.0,127,21499.642019
0.0,125,21557.407655
0.0,129,21617.937148
2.0,202,21716.389766
5.0,369,21901.392859
0.0,125,21959.518633
0.0,125,22017.46306
0.0,127,22077.489005
1.0,175,22162.508649
6.0,380,22354.555482
10.0,450,22583.243119
2.0,202,22683.960809
1.0,155,22756.968609
5.0,329,22921.818
1.0,157,22997.29018
0.0,127,23055.477766
5.0,352,23232.998574
0.0,129,23293.436236
0.0,125,23350.508246
0.0,127,23410.235771
2.0,200,23507.099525
2.0,198,23602.89028
2.0,200,23699.748333
1.0,173,23783.55442
2.0,200,23881.265664
2.0,202,23981.17876
2.0,222,24088.908455
3.0,271,24224.849824
0.0,129,24285.979404
0.0,127,24344.168869
0.0,125,24402.874716
1.0,175,24489.215704
0.0,129,24549.333796
7.0,322,24709.582011
2.0,200,24806.4472
0.0,127,24867.296454
1.0,173,24950.290751
4.0,297,25097.650847
4.0,299,25246.862959
3.0,271,25383.635064
2.0,202,25480.991858
0.0,127,25541.203629
2.0,202,25640.913651
6.0,396,25840.992768
2.0,200,25938.44837
10.0,455,26169.796216
5.0,348,26345.22983
0.0,129,26405.414223
1.0,173,26489.142051
0.0,129,26549.478595
0.0,129,26610.09577
2.0,222,26720.469574
0.0,129,26781.549723
0.0,129,26841.885415
1.0,176,26926.254503
2.0,201,27023.660239
4.0,299,27174.639894
0.0,125,27234.337351
0.0,127,27292.261788
1.0,157,27368.251227
1.0,173,27451.985432
8.0,375,27641.671824
0.0,129,27701.255268
1.0,176,27785.217362
2.0,200,27882.210734
2.0,198,27978.924357
2.0,202,28078.785308
0.0,127,28136.410704
1.0,157,28212.124256
10.0,449,28441.554793
0.0,125,28498.78579
0.0,127,28558.804103
0.0,127,28616.423198
0.0,127,28676.854851
0.0,129,28737.920014
0.0,127,28798.251432
0.0,125,28856.94969
3.0,248,28980.359428
3.0,250,29104.188913
0.0,125,29162.781226
0.0,129,29223.527314
4.0,258,29354.14819
4.0,297,29500.758854
0.0,129,29561.626506
2.0,202,29660.292422
0.0,127,29720.961798
0.0,127,29779.143144
11.0,485,30027.025708
9.0,404,30231.836102
4.0,320,30393.085953
5.0,329,30557.812671
0.0,127,30615.623304
0.0,129,30675.815153
2.0,200,30772.853877
5.0,350,30951.606783
0.0,129,31011.643548
2.0,220,31119.339992
1.0,157,31193.991461
4.0,321,31357.220619
0.0,123,31415.186949
5.0,352,31593.650225
0.0,127,31653.879083
0.0,129,31714.872469
2.0,219,31823.002483
5.0,352,32001.141809
0.0,125,32061.150119
2.0,202,32158.921224
4.0,299,32308.067683
4.0,299,32458.13946
0.0,125,32516.303129
0.0,127,32575.921216
0.0,127,32636.229321
5.0,350,32812.968911
6.0,380,33005.405727
0.0,129,33065.721616
2.0,200,33163.129699
2.0,202,33262.42267
1.0,158,33338.916419
3.0,271,33472.920487
0.0,127,33532.873991
0.0,127,33592.141787
1.0,157,33668.137234
0.0,129,33728.09761
0.0,127,33786.401449
0.0,127,33846.325626
0.0,129,33907.168726
1.0,173,33990.58327
0.0,129,34050.612326
0.0,125,34108.876656
5.0,350,34285.371564
0.0,129,34345.724916
2.0,202,34445.008659
2.0,202,34542.500458
2.0,200,34644.167655
10.0,431,34860.769589
0.0,129,34920.36744
0.0,127,34980.383366
9.0,405,35185.639411
7.0,449,35416.859177
0.0,129,35477.890604
4.0,297,35625.164309
0.0,127,35684.541068
2.0,202,35783.916657
2.0,202,35881.524444
0.0,129,35941.593928
5.0,350,36117.347017
5.0,350,36295.168403
0.0,129,36355.280519
0.0,129,36415.231412
0.0,125,36473.094331
0.0,127,36530.826237
2.0,200,36629.362449
0.0,129,36689.479226
0.0,123,36745.037721
0.0,129,36805.093706
3.0,248,36927.105271
1.0,157,37002.557526
5.0,350,37177.616099
10.0,453,37407.62864
2.0,200,37503.973235
5.0,351,37678.47414
0.0,129,37738.950177
0.0,129,37799.382829
0.0,127,37860.080188
0.0,125,37916.64245
0.0,129,37976.839764
0.0,129,38037.180644
0.0,127,38097.274159
2.0,200,38193.933606
9.0,404,38397.817441
1.0,175,38481.073701
3.0,248,38604.121296
2.0,202,38703.209123
0.0,129,38763.577496
3.0,248,38884.40348
0.0,127,38944.188809
0.0,127,39004.2118
4.0,297,39151.210961
5.0,344,39324.345651
2.0,200,39421.993672
1.0,172,39505.361418
2.0,205,39606.009624
0.0,129,39667.010543
2.0,202,39765.76345
3.0,248,39888.744418
0.0,127,39946.830983
4.0,297,40094.886413
9.0,402,40297.550981
0.0,127,40357.672955
0.0,129,40418.421553
5.0,350,40594.746604
7.0,322,40756.777585
0.0,129,40817.928928
0.0,129,40878.047034
6.0,379,41069.035357
4.0,299,41219.366547
0.0,129,41279.531108
11.0,482,41523.895433
10.0,451,41754.047216
1.0,157,41827.832119
0.0,129,41888.081405
0.0,129,41948.669663
2.0,200,42048.033475
0.0,129,42108.54756
0.0,127,42165.997422
0.0,125,42223.563172
4.0,299,42374.734059
0.0,127,42434.960366
4.0,280,42574.290536
2.0,198,42670.933672
2.0,202,42770.442173
0.0,127,42827.758092
2.0,198,42924.218597
0.0,127,42984.611946
6.0,378,43173.478348
1.0,171,43256.733996
11.0,487,43503.251962
4.0,297,43652.248312
0.0,127,43712.485319
4.0,299,43862.145232
0.0,127,43920.183474
4.0,297,44070.176329
9.0,425,44285.384311
0.0,129,44346.34199
1.0,157,44422.002513
0.0,127,44480.109259
0.0,129,44540.042293
0.0,127,44600.18216
1.0,173,44684.023592
2.0,222,44791.712754
4.0,321,44952.968894
2.0,202,45050.740621
0.0,129,45110.990534
0.0,127,45171.036077
0.0,129,45231.037755
0.0,127,45288.915585
3.0,251,45414.170702
0.0,129,45473.430145
0.0,129,45535.358869
0.0,127,45593.544888
7.0,413,45803.557652
2.0,200,45900.958181
5.0,344,46073.94831
0.0,129,46134.407961
0.0,129,46194.78182
0.0,129,46255.187245
0.0,129,46315.497611
0.0,129,46376.234587
0.0,127,46436.425373
0.0,129,46497.040136
4.0,299,46647.219477
1.0,169,46728.406135
5.0,329,46893.86003
5.0,327,47059.676108
0.0,125,47118.227437
9.0,401,47320.180907
1.0,155,47394.006905
1.0,175,47480.292661
1.0,175,47563.823558
3.0,246,47684.046098
0.0,127,47744.324319
0.0,129,47804.329208
0.0,129,47864.179408
0.0,127,47922.241049
2.0,202,48021.747436
0.0,127,48081.264321
1.0,155,48154.336464
1.0,155,48228.642132
3.0,248,48352.744667
0.0,125,48410.637645
3.0,248,48533.695773
0.0,127,48591.492717
0.0,129,48651.95066
0.0,125,48711.395208
0.0,127,48769.084392
5.0,350,48944.808017
6.0,378,49136.332065
4.0,297,49285.939482
2.0,200,49383.524396
0.0,127,49443.92967
8.0,352,49620.462097
2.0,224,49730.36501
0.0,127,49790.838828
1.0,155,49865.231593
3.0,232,49980.749759
0.0,129,50041.498749
0.0,127,50100.44341
0.0,127,50160.491327
0.0,129,50220.445532
3.0,230,50332.386482
1.0,153,50406.015274
3.0,271,50539.671661
2.0,202,50638.453787
1.0,156,50713.094753
9.0,423,50929.009553
1.0,178,51015.594947
2.0,203,51115.122769
0.0,123,51171.650574
5.0,350,51349.475603
0.0,125,51408.08828
3.0,251,51531.89563
0.0,125,51589.906251
0.0,129,51650.854362
0.0,125,51711.008265
2.0,224,51820.537822
5.0,350,51997.838494
4.0,297,52145.651371
0.0,125,52206.205173
1.0,173,52289.208024
3.0,228,52402.350478
0.0,127,52462.741503
2.0,199,52559.65622
0.0,129,52620.468391
1.0,155,52695.645613
7.0,322,52859.920501
1.0,153,52931.764638
1.0,155,53008.023773
5.0,309,53163.09701
0.0,129,53223.832465
2.0,200,53321.95368
3.0,246,53445.60994
2.0,183,53535.042629
6.0,353,53714.105819
0.0,127,53772.185633
2.0,183,53861.897869
0.0,129,53922.477787
1.0,157,53999.068573
2.0,229,54111.281089
4.0,319,54271.847648
3.0,230,54384.738697
0.0,129,54444.872184
5.0,350,54622.287238
2.0,204,54722.309664
2.0,202,54822.934665
1.0,157,54896.714651
2.0,187,54988.830472
0.0,127,55049.166869
2.0,203,55146.079474
1.0,155,55221.879282
2.0,220,55330.07756
5.0,349,55506.739495
0.0,127,55567.201686
0.0,127,55627.868007
1.0,155,55703.986597
1.0,154,55778.0494
0.0,129,55838.481611
2.0,206,55941.923261
2.0,200,56039.501066
1.0,175,56123.149809
5.0,319,56283.749446
5.0,352,56463.268263
4.0,277,56601.375297
2.0,187,56693.696307
1.0,156,56767.015297
10.0,436,56992.965343
3.0,233,57106.79403
2.0,183,57196.229624
5.0,368,57382.71622
2.0,203,57482.174324
2.0,202,57580.772246
1.0,174,57665.836602
3.0,272,57803.420467
4.0,274,57940.19347
0.0,125,57998.261967
4.0,245,58120.02458
2.0,182,58209.533834
10.0,408,58417.954617
5.0,350,58595.318211
3.0,228,58708.652548
0.0,127,58767.280126
7.0,453,58999.46811
2.0,185,59088.99137
4.0,279,59227.535043
0.0,129,59287.88232
4.0,297,59438.776657
6.0,380,59631.148874
5.0,306,59786.170145
2.0,182,59872.993101
1.0,153,59947.226489
1.0,155,60021.630216
2.0,187,60114.642394
9.0,422,60329.655679
6.0,382,60525.340364
1.0,155,60599.705322
0.0,129,60660.556811
0.0,129,60721.60284
6.0,345,60896.473651
1.0,178,60983.349492
0.0,125,61041.806988
4.0,319,61204.602805
2.0,208,61308.063607
2.0,183,61397.659291
1.0,153,61471.886708
5.0,350,61649.103081
1.0,157,61725.88032
1.0,155,61800.548124
1.0,157,61874.142256
2.0,186,61966.626568
0.0,127,62024.929719
6.0,382,62221.189307
8.0,458,62456.145674
3.0,234,62571.916104
5.0,370,62760.529902
0.0,129,62820.717174
0.0,129,62881.186635
2.0,201,62978.423135
5.0,329,63144.996559
2.0,207,63248.597895
2.0,220,63357.766944
0.0,129,63418.261966
7.0,448,63647.850986
2.0,187,63740.385128
5.0,307,63893.167669
0.0,129,63954.430047
2.0,199,64051.90605
1.0,175,64137.088086
6.0,343,64311.544443
0.0,129,64372.642401
2.0,200,64470.802638
9.0,404,64677.34914
1.0,157,64753.447295
2.0,187,64844.764819
2.0,183,64931.772974
3.0,234,65047.510577
0.0,125,65108.318919
0.0,127,65166.433402
0.0,125,65224.018698
6.0,362,65408.201026
1.0,175,65492.463947
1.0,155,65566.318418
2.0,183,65658.73637
1.0,176,65745.465174
4.0,299,65895.153033
3.0,230,66008.00148
1.0,173,66092.371775
6.0,377,66282.746005
5.0,350,66458.440201
5.0,314,66615.757382
2.0,204,66715.236409
1.0,173,66799.29574
3.0,228,66913.659516
4.0,260,67042.976975
8.0,454,67276.317721
9.0,404,67481.40971
2.0,183,67570.936237
1.0,155,67645.531568
5.0,349,67821.875602
15.0,534,68095.727341
2.0,183,68184.655696
11.0,399,68388.064906
5.0,316,68546.326337
1.0,175,68633.355477
3.0,231,68747.414418
5.0,328,68913.462803
3.0,218,69021.442376
5.0,311,69177.250389
4.0,275,69314.781196
11.0,463,69553.31595
0.0,129,69613.918944
5.0,327,69779.522752
7.0,399,69982.437196
11.0,472,70223.95343
1.0,178,70311.373526
0.0,129,70371.905704
6.0,396,70572.987712
3.0,248,70695.800059
2.0,185,70785.638572
6.0,396,70987.942188
1.0,157,71062.400565
4.0,296,71211.66807
1.0,173,71296.132823
7.0,407,71501.118636
12.0,519,71767.435383
1.0,175,71852.092646
3.0,209,71955.535352
3.0,218,72063.90824
7.0,407,72271.93546
11.0,498,72527.961547
5.0,291,72674.45518
0.0,127,72734.692184
2.0,185,72824.61886
1.0,178,72912.100194
3.0,234,73029.371242
1.0,155,73103.249601
3.0,236,73220.622356
4.0,272,73357.059098
4.0,299,73507.443507
4.0,282,73647.509279
3.0,249,73770.824905
8.0,473,74012.424043
5.0,307,74168.364919
6.0,380,74362.833474
10.0,450,74592.089279
10.0,383,74799.045991
4.0,283,74956.638317
4.0,301,75120.737704
3.0,234,75245.82667
2.0,206,75355.487515
3.0,249,75494.987863
6.0,379,75704.762719
2.0,208,75811.924353
11.0,457,76075.910145
2.0,182,76176.635796
2.0,184,76276.876522
12.0,323,76465.991358
7.0,410,76698.513496
3.0,229,76824.862603
5.0,320,77015.725671
5.0,330,77207.641113
5.0,328,77400.214775
15.0,542,77736.602401
5.0,315,77931.554361
8.0,476,78212.772787
2.0,184,78318.455203
9.0,443,78581.362931
3.0,229,78709.592353
4.0,321,78882.834434
5.0,328,79061.497761
13.0,459,79250.838456
3.0,255,79348.215175
5.0,311,79458.635411
4.0,303,79559.767072
5.0,352,79678.749884
10.0,380,79929.706481
15.0,527,80136.512112
5.0,348,80254.696805
5.0,329,80366.485135
4.0,284,80461.005245
7.0,396,80594.599098
1.0,175,80650.755952
8.0,283,80745.599818
3.0,234,80822.852929
11.0,271,80911.989615
7.0,393,81045.830953
5.0,352,81164.539573
4.0,282,81258.485308
5.0,311,81371.517885
7.0,424,81525.456316
8.0,425,81679.629406
7.0,248,81768.215041
5.0,308,81880.012587
2.0,203,81950.047979
11.0,483,82132.602603
11.0,480,82312.781624
6.0,350,82447.450949
6.0,333,82574.551142
8.0,420,82737.52231
10.0,452,82954.723449
7.0,428,83154.67816
9.0,420,83311.588499
15.0,535,83514.525303
7.0,391,83653.064742
6.0,372,83834.050342
2.0,183,83928.443902
9.0,404,84134.738999
4.0,303,84242.233467
4.0,324,84355.613071
5.0,310,84465.669353
7.0,387,84640.752652
